BLG	Merian	matches	total_BLG	total_Merian	prop_BLG	prop_Merian
A1axA1b	M1	0	101	65	0	0
A1axA1b	M10	1	101	38	0.99009900990099	2.63157894736842
A1axA1b	M11	27	101	35	26.7326732673267	77.1428571428572
A1axA1b	M12	0	101	30	0	0
A1axA1b	M13	4	101	32	3.96039603960396	12.5
A1axA1b	M14	1	101	23	0.99009900990099	4.34782608695652
A1axA1b	M15	0	101	33	0	0
A1axA1b	M16	7	101	33	6.93069306930693	21.2121212121212
A1axA1b	M17	0	101	27	0	0
A1axA1b	M18	1	101	20	0.99009900990099	5
A1axA1b	M19	0	101	25	0	0
A1axA1b	M2	1	101	47	0.99009900990099	2.12765957446809
A1axA1b	M20	1	101	22	0.99009900990099	4.54545454545455
A1axA1b	M21	17	101	25	16.8316831683168	68
A1axA1b	M22	0	101	31	0	0
A1axA1b	M23	1	101	23	0.99009900990099	4.34782608695652
A1axA1b	M24	0	101	12	0	0
A1axA1b	M25	0	101	9	0	0
A1axA1b	M26	0	101	2	0	0
A1axA1b	M27	6	101	8	5.94059405940594	75
A1axA1b	M28	0	101	10	0	0
A1axA1b	M29	4	101	13	3.96039603960396	30.7692307692308
A1axA1b	M3	3	101	57	2.97029702970297	5.26315789473684
A1axA1b	M30	0	101	5	0	0
A1axA1b	M31	0	101	4	0	0
A1axA1b	M4	0	101	40	0	0
A1axA1b	M5	22	101	46	21.7821782178218	47.8260869565217
A1axA1b	M6	1	101	36	0.99009900990099	2.77777777777778
A1axA1b	M7	0	101	46	0	0
A1axA1b	M8	2	101	38	1.98019801980198	5.26315789473684
A1axA1b	M9	2	101	43	1.98019801980198	4.65116279069767
A1axA1b	MZ	0	101	38	0	0
A2	M1	0	16	65	0	0
A2	M10	0	16	38	0	0
A2	M11	0	16	35	0	0
A2	M12	0	16	30	0	0
A2	M13	1	16	32	6.25	3.125
A2	M14	0	16	23	0	0
A2	M15	0	16	33	0	0
A2	M16	1	16	33	6.25	3.03030303030303
A2	M17	0	16	27	0	0
A2	M18	0	16	20	0	0
A2	M19	0	16	25	0	0
A2	M2	0	16	47	0	0
A2	M20	0	16	22	0	0
A2	M21	4	16	25	25	16
A2	M22	0	16	31	0	0
A2	M23	0	16	23	0	0
A2	M24	0	16	12	0	0
A2	M25	0	16	9	0	0
A2	M26	0	16	2	0	0
A2	M27	2	16	8	12.5	25
A2	M28	0	16	10	0	0
A2	M29	4	16	13	25	30.7692307692308
A2	M3	0	16	57	0	0
A2	M30	0	16	5	0	0
A2	M31	1	16	4	6.25	25
A2	M4	0	16	40	0	0
A2	M5	3	16	46	18.75	6.52173913043478
A2	M6	0	16	36	0	0
A2	M7	0	16	46	0	0
A2	M8	0	16	38	0	0
A2	M9	0	16	43	0	0
A2	MZ	0	16	38	0	0
B1	M1	1	35	65	2.85714285714286	1.53846153846154
B1	M10	0	35	38	0	0
B1	M11	1	35	35	2.85714285714286	2.85714285714286
B1	M12	1	35	30	2.85714285714286	3.33333333333333
B1	M13	1	35	32	2.85714285714286	3.125
B1	M14	0	35	23	0	0
B1	M15	4	35	33	11.4285714285714	12.1212121212121
B1	M16	1	35	33	2.85714285714286	3.03030303030303
B1	M17	1	35	27	2.85714285714286	3.7037037037037
B1	M18	0	35	20	0	0
B1	M19	0	35	25	0	0
B1	M2	0	35	47	0	0
B1	M20	4	35	22	11.4285714285714	18.1818181818182
B1	M21	0	35	25	0	0
B1	M22	0	35	31	0	0
B1	M23	1	35	23	2.85714285714286	4.34782608695652
B1	M24	0	35	12	0	0
B1	M25	0	35	9	0	0
B1	M26	0	35	2	0	0
B1	M27	0	35	8	0	0
B1	M28	1	35	10	2.85714285714286	10
B1	M29	0	35	13	0	0
B1	M3	8	35	57	22.8571428571429	14.0350877192982
B1	M30	0	35	5	0	0
