Merian_element	Freq_fusions	average_prop_length_per_Merian
M1	5	3.9542998
M10	7	3.25941447
M11	5	3.19658125
M12	8	3.72200454
M13	13	2.98183287
M14	9	3.01195072
M15	3	3.29042248
M16	7	3.53443567
M17.M20	5	4.00475538
M18	7	3.60738076
M19	11	2.69664474
M2	4	4.12060824
M21	5	3.40938296
M22	7	3.36736053
M23	10	3.21915265
M24	13	2.63621776
M25	15	1.8776083
M26	13	2.56648909
M27	10	2.28563688
M28	9	2.34421876
M29	21	1.75470312
M3	4	3.82651873
M30	19	1.91523159
M31	17	1.79702093
M4	9	3.44140973
M5	8	3.73978176
M6	12	3.49987658
M7	7	3.67892715
M8	5	3.87780035
M9	6	3.85742317
MZ	30	4.77091347
