Merian_1	Freq	Merian_f	Type
M1	0	M1	Z-autosome
M10	1	M10	Z-autosome
M11	1	M11	Z-autosome
M12	0	M12	Z-autosome
M13	3	M13	Z-autosome
M14	2	M14	Z-autosome
M15	0	M15	Z-autosome
M16	0	M16	Z-autosome
M17+M20	1	M17+M20	Z-autosome
M18	1	M18	Z-autosome
M19	0	M19	Z-autosome
M2	0	M2	Z-autosome
M21	0	M21	Z-autosome
M22	2	M22	Z-autosome
M23	1	M23	Z-autosome
M24	4	M24	Z-autosome
M25	3	M25	Z-autosome
M26	3	M26	Z-autosome
M27	0	M27	Z-autosome
M28	0	M28	Z-autosome
M29	2	M29	Z-autosome
M3	0	M3	Z-autosome
M30	1	M30	Z-autosome
M31	4	M31	Z-autosome
M4	1	M4	Z-autosome
M5	0	M5	Z-autosome
M6	0	M6	Z-autosome
M7	0	M7	Z-autosome
M8	0	M8	Z-autosome
M9	0	M9	Z-autosome
MZ	0	MZ	Z-autosome
MZ	30	MZ	Z-autosome
M1	5	M1	Autosome-autosome
M10	6	M10	Autosome-autosome
M11	4	M11	Autosome-autosome
M12	8	M12	Autosome-autosome
M13	10	M13	Autosome-autosome
M14	7	M14	Autosome-autosome
M15	3	M15	Autosome-autosome
M16	7	M16	Autosome-autosome
M17+M20	4	M17+M20	Autosome-autosome
M18	6	M18	Autosome-autosome
M19	11	M19	Autosome-autosome
M2	4	M2	Autosome-autosome
M21	5	M21	Autosome-autosome
M22	5	M22	Autosome-autosome
M23	9	M23	Autosome-autosome
M24	9	M24	Autosome-autosome
M25	12	M25	Autosome-autosome
M26	10	M26	Autosome-autosome
M27	10	M27	Autosome-autosome
M28	9	M28	Autosome-autosome
M29	19	M29	Autosome-autosome
M3	4	M3	Autosome-autosome
M30	18	M30	Autosome-autosome
M31	13	M31	Autosome-autosome
M4	8	M4	Autosome-autosome
M5	8	M5	Autosome-autosome
M6	12	M6	Autosome-autosome
M7	7	M7	Autosome-autosome
M8	5	M8	Autosome-autosome
M9	6	M9	Autosome-autosome
