Merian	total_Merian	stat_status
M1	65	Significant
M10	38	Significant
M11	35	Significant
M12	30	Non-significant
M13	32	Non-significant
M14	23	Significant
M15	33	Non-significant
M16	33	Non-significant
M17	27	Significant
M18	20	Non-significant
M19	25	Significant
M2	47	Significant
M20	22	Non-significant
M21	25	Significant
M22	31	Significant
M23	23	Significant
M24	12	Excluded
M25	9	Excluded
M26	2	Excluded
M27	8	Excluded
M28	10	Excluded
M29	13	Excluded
M3	57	Significant
M30	5	Excluded
M31	4	Excluded
M4	40	Significant
M5	46	Significant
M6	36	Significant
M7	46	Significant
M8	38	Significant
M9	43	Significant
MZ	38	Non-significant
