Merian_1	Merian_2	Freq	Merian_1_f	Merian_2_f
M1	M1	0	M1	M1
M10	M1	0	M10	M1
M11	M1	0	M11	M1
M12	M1	0	M12	M1
M13	M1	0	M13	M1
M14	M1	0	M14	M1
M15	M1	0	M15	M1
M16	M1	0	M16	M1
M17+M20	M1	0	M17+M20	M1
M18	M1	0	M18	M1
M19	M1	1	M19	M1
M2	M1	1	M2	M1
M21	M1	0	M21	M1
M22	M1	0	M22	M1
M23	M1	0	M23	M1
M24	M1	0	M24	M1
M25	M1	0	M25	M1
M26	M1	0	M26	M1
M27	M1	1	M27	M1
M28	M1	0	M28	M1
M29	M1	0	M29	M1
M3	M1	0	M3	M1
M30	M1	0	M30	M1
M31	M1	0	M31	M1
M4	M1	0	M4	M1
M5	M1	0	M5	M1
M6	M1	1	M6	M1
M7	M1	1	M7	M1
M8	M1	0	M8	M1
M9	M1	0	M9	M1
MZ	M1	0	MZ	M1
M1	M10	0	M1	M10
M10	M10	0	M10	M10
M11	M10	0	M11	M10
M12	M10	2	M12	M10
M13	M10	0	M13	M10
M14	M10	0	M14	M10
M15	M10	0	M15	M10
M16	M10	0	M16	M10
M17+M20	M10	0	M17+M20	M10
M18	M10	0	M18	M10
M19	M10	0	M19	M10
M2	M10	0	M2	M10
M21	M10	0	M21	M10
M22	M10	0	M22	M10
M23	M10	0	M23	M10
M24	M10	1	M24	M10
M25	M10	0	M25	M10
M26	M10	0	M26	M10
M27	M10	0	M27	M10
M28	M10	0	M28	M10
M29	M10	0	M29	M10
M3	M10	0	M3	M10
M30	M10	0	M30	M10
M31	M10	1	M31	M10
M4	M10	2	M4	M10
M5	M10	0	M5	M10
M6	M10	0	M6	M10
M7	M10	0	M7	M10
M8	M10	0	M8	M10
M9	M10	0	M9	M10
MZ	M10	1	MZ	M10
M1	M11	0	M1	M11
M10	M11	0	M10	M11
M11	M11	0	M11	M11
M12	M11	0	M12	M11
M13	M11	0	M13	M11
M14	M11	0	M14	M11
M15	M11	0	M15	M11
M16	M11	0	M16	M11
M17+M20	M11	0	M17+M20	M11
M18	M11	0	M18	M11
M19	M11	0	M19	M11
M2	M11	0	M2	M11
M21	M11	0	M21	M11
M22	M11	1	M22	M11
M23	M11	1	M23	M11
M24	M11	0	M24	M11
M25	M11	0	M25	M11
M26	M11	0	M26	M11
M27	M11	0	M27	M11
M28	M11	1	M28	M11
M29	M11	0	M29	M11
M3	M11	0	M3	M11
M30	M11	0	M30	M11
M31	M11	0	M31	M11
M4	M11	1	M4	M11
M5	M11	0	M5	M11
M6	M11	0	M6	M11
M7	M11	0	M7	M11
M8	M11	0	M8	M11
M9	M11	0	M9	M11
MZ	M11	1	MZ	M11
M1	M12	0	M1	M12
M10	M12	2	M10	M12
M11	M12	0	M11	M12
M12	M12	0	M12	M12
M13	M12	0	M13	M12
M14	M12	0	M14	M12
M15	M12	0	M15	M12
M16	M12	0	M16	M12
M17+M20	M12	0	M17+M20	M12
M18	M12	0	M18	M12
M19	M12	0	M19	M12
M2	M12	0	M2	M12
M21	M12	1	M21	M12
M22	M12	0	M22	M12
M23	M12	0	M23	M12
M24	M12	0	M24	M12
M25	M12	0	M25	M12
M26	M12	0	M26	M12
M27	M12	0	M27	M12
M28	M12	0	M28	M12
M29	M12	1	M29	M12
M3	M12	1	M3	M12
M30	M12	2	M30	M12
M31	M12	1	M31	M12
M4	M12	0	M4	M12
M5	M12	0	M5	M12
M6	M12	0	M6	M12
M7	M12	0	M7	M12
M8	M12	0	M8	M12
M9	M12	0	M9	M12
MZ	M12	0	MZ	M12
M1	M13	0	M1	M13
M10	M13	0	M10	M13
M11	M13	0	M11	M13
M12	M13	0	M12	M13
M13	M13	0	M13	M13
M14	M13	1	M14	M13
M15	M13	0	M15	M13
M16	M13	0	M16	M13
M17+M20	M13	0	M17+M20	M13
M18	M13	0	M18	M13
M19	M13	1	M19	M13
M2	M13	0	M2	M13
M21	M13	0	M21	M13
M22	M13	0	M22	M13
M23	M13	2	M23	M13
M24	M13	2	M24	M13
M25	M13	0	M25	M13
M26	M13	1	M26	M13
M27	M13	0	M27	M13
M28	M13	1	M28	M13
M29	M13	0	M29	M13
M3	M13	0	M3	M13
M30	M13	0	M30	M13
M31	M13	0	M31	M13
M4	M13	0	M4	M13
M5	M13	1	M5	M13
M6	M13	1	M6	M13
M7	M13	0	M7	M13
M8	M13	0	M8	M13
M9	M13	0	M9	M13
MZ	M13	3	MZ	M13
M1	M14	0	M1	M14
M10	M14	0	M10	M14
M11	M14	0	M11	M14
M12	M14	0	M12	M14
M13	M14	1	M13	M14
M14	M14	0	M14	M14
M15	M14	0	M15	M14
M16	M14	0	M16	M14
M17+M20	M14	0	M17+M20	M14
M18	M14	0	M18	M14
M19	M14	1	M19	M14
M2	M14	0	M2	M14
M21	M14	1	M21	M14
M22	M14	0	M22	M14
M23	M14	0	M23	M14
M24	M14	0	M24	M14
M25	M14	0	M25	M14
M26	M14	1	M26	M14
M27	M14	0	M27	M14
M28	M14	0	M28	M14
M29	M14	1	M29	M14
M3	M14	0	M3	M14
M30	M14	1	M30	M14
M31	M14	0	M31	M14
M4	M14	0	M4	M14
M5	M14	0	M5	M14
M6	M14	1	M6	M14
M7	M14	0	M7	M14
M8	M14	0	M8	M14
M9	M14	0	M9	M14
MZ	M14	2	MZ	M14
M1	M15	0	M1	M15
M10	M15	0	M10	M15
M11	M15	0	M11	M15
M12	M15	0	M12	M15
M13	M15	0	M13	M15
M14	M15	0	M14	M15
M15	M15	0	M15	M15
M16	M15	0	M16	M15
M17+M20	M15	0	M17+M20	M15
M18	M15	1	M18	M15
M19	M15	0	M19	M15
M2	M15	0	M2	M15
M21	M15	0	M21	M15
M22	M15	0	M22	M15
M23	M15	0	M23	M15
M24	M15	0	M24	M15
M25	M15	0	M25	M15
M26	M15	0	M26	M15
M27	M15	0	M27	M15
M28	M15	0	M28	M15
M29	M15	0	M29	M15
M3	M15	0	M3	M15
M30	M15	0	M30	M15
M31	M15	0	M31	M15
M4	M15	0	M4	M15
M5	M15	1	M5	M15
M6	M15	0	M6	M15
M7	M15	0	M7	M15
M8	M15	1	M8	M15
M9	M15	0	M9	M15
MZ	M15	0	MZ	M15
