species	DNA	LINE	LTR	RC	SINE	Other	Unknown
Abrostola_tripartita	1.38	6.18	2.38	2.9	0.89	0.07	9.31
Acentria_ephemerella	1.13	6.07	1.62	0.74	0.27	0	6.03
Acleris_emargana	7.72	11.29	1.84	3.62	3.51	0.12	23.96
Acleris_sparsana	4.93	10.55	2.28	3.93	1.77	0.09	20.01
Acrobasis_suavella	5.29	10.57	2.86	8.66	1.28	0.69	21.18
Acronicta_aceris	2.16	10.68	3.01	5.73	3.05	0	11.14
Agonopterix_arenella	3.6	9.75	1.88	6.78	1.3	0	25.86
Agonopterix_subpropinquella	4.82	11.1	2.59	8.1	0.74	0	29.2
Agriopis_aurantiaria	4.38	15.87	1.08	7.85	0.62	0.18	13.81
Agriopis_marginaria	4.14	18.18	1.08	7.27	0	0.06	15.25
Agriphila_geniculea	6.11	11.12	4.59	12.84	0.15	0.01	27.77
Agriphila_tristella	5.69	12.35	5.35	9.9	0.82	0	28.79
Agrochola_circellaris	3.87	10.9	1.47	5.4	0.07	0	20.18
Agrochola_macilenta	3.95	16.91	2.08	6.32	0.17	0.03	19.35
Agrotis_puta	2.89	12.95	2.9	6.34	0.46	0	11.99
Allophyes_oxyacanthae	3.42	7.47	1.82	5.12	1.04	0	16.7
Amphipyra_berbera	2.52	11.1	1.91	5.97	0.32	0	25.5
Amphipyra_tragopoginis	5.46	11.93	3.01	6.34	0.56	0	28.19
Anthocharis_cardamines	3.85	12.91	3.58	7	2.13	0	12.03
Apamea_monoglypha	3.28	13.94	1.76	4.05	0.05	0	18.11
Apeira_syringaria	3.68	12.97	1.93	8.3	0.91	0	15.32
Aphantopus_hyperantus	3.71	8.56	2.83	15.98	0.51	0	12.29
Aplocera_efformata	3.58	7.92	0.97	5.95	0.26	0	6.45
Aporia_crataegi	2.8	2.88	0.69	2.7	0.61	0	7.91
Aporophyla_lueneburgensis	6.85	18.14	6.55	12.39	1.44	0	13.12
Apotomis_betuletana	3.27	12.08	5.13	7.25	0.32	0.01	22.46
Apotomis_turbidana	3.06	14.82	4.27	7.44	0.22	0.13	21.63
Aricia_agestis	3.71	7.02	2.26	14.4	1.77	0	18.26
Aricia_artaxerxes	4.45	7.59	3.52	14.27	2.31	0	17.71
Atethmia_centrago	11.19	20.79	3.73	3.86	0.82	0.15	17.23
Autographa_gamma	1.43	6.55	2.33	2.39	0.53	0.02	7.91
Autographa_pulchrina	2.95	7.42	1.94	5.58	0.09	0.01	11.88
Bembecia_ichneumoniformis	6.17	9.7	2.9	7.15	6.25	0	13.54
Biston_betularia	2.01	15.92	0.72	4.24	4.23	0.01	11.04
Blastobasis_adustella	3.07	17	2.45	4.45	2.71	0	14.7
Blastobasis_lacticolella	4.39	16.29	2.16	5.04	3.68	0	13.28
Boloria_selene	3.16	11.45	4.04	9.47	0.5	0.05	8.1
Bombyx_mori	1.93	30.45	1.77	3.97	1.38	0	6.36
Brachylomia_viminalis	6.95	21.12	3.86	3.03	0.01	0	16.92
Brenthis_ino	2.28	6.39	1.82	16.02	0.47	0	9.66
Calamotropha_paludella	8.68	13.96	3.49	4.57	0.11	0	13.57
Campaea_margaritaria	1.11	7.93	5.51	3.72	1.07	0.01	8.09
Caradrina_clavipalpis	2.29	8.66	1.87	7.05	1.84	0	12.28
Carcina_quercana	2.57	8.42	2.21	6.55	1.33	0	12.6
Carposina_sasakii	3.9	7.5	3.28	6.61	0	0.01	17.77
Carterocephalus_palaemon	4.76	8.58	3.04	7.12	0.82	0.04	11.98
Catocala_fraxini	2.66	12.63	2.29	7.61	0.73	0.18	11.89
Celastrina_argiolus	6.24	9.45	4.54	10.79	0.53	0	18.13
Chloroclysta_siterata	2.73	11.56	2.11	12.59	3.81	0	13.53
Chrysoteuchia_culmella	3.62	13.47	3.92	7.53	0.62	0.29	20.85
Clostera_curtula	3.97	18.19	4.37	9.3	0.71	0	12.96
Colias_croceus	3.21	6.51	2.28	9.57	0.2	0.01	9.49
Cosmia_trapezina	7.68	12.11	4.02	13.27	0.3	0	21.18
Craniophora_ligustri	1.99	10.19	3.25	5.18	2.56	0	6.97
Crocallis_elinguaria	3.22	7.3	3.84	8.32	0.29	0	17.15
Cyaniris_semiargus	4.61	7.08	2.14	15.69	1.04	0	18.19
Cydia_splendana	5.54	10.66	3.24	7.64	0.91	0.11	24.27
Danaus_plexippus_plexippus	0.75	3.81	0.12	0.93	0.42	0	1.42
Deilephila_porcellus	2.13	6.29	1.46	1.87	2.25	0	11.53
Dendrolimus_kikuchii	4.44	22.4	3.1	9.83	3.09	0	16.08
Dendrolimus_punctatus	3	14.95	2.84	7.43	3.13	0	17.16
Diachrysia_chrysitis	1.21	4.25	1.08	7.21	0.23	0	9.8
Diarsia_rubi	5.32	13.72	4.02	5.33	0.04	0	15.48
Dryas_iulia_moderata	5.52	5.79	2.93	18.7	5.34	0	1.09
Dryobotodes_eremita	5.85	15.27	2.59	5.55	0.01	0	20.77
Ecliptopera_silaceata	2.08	8.14	1.87	5.25	0.67	0	15.11
Ectropis_grisescens	4.36	19.42	2.77	9.31	0.63	0	14.63
Eilema_depressum	5.59	13.65	2.73	6.6	2.46	0	12.61
Eilema_sororcula	5.85	18.16	7.07	6.23	1.86	0.06	10.95
Emmelina_monodactyla	3.24	8.86	4.61	6.98	0.62	0.01	8.57
Endotricha_flammealis	4.18	11.04	4.22	8.22	1.91	0.02	14.53
Ennomos_fuscantarius	4.82	10.84	3.95	6.14	3.66	0.08	13.99
Ennomos_quercinarius	2.47	15.15	3.19	5.21	3.71	0.24	16.53
Ephestia_elutella	4.81	9.75	12.69	11.1	0.13	0.02	14.16
Epinotia_nisella	4.85	9.86	1.8	8.85	0.37	0	21.58
Erannis_defoliaria	4.11	12.39	2.1	3.51	1.36	0	20.33
Erebia_aethiops	3.8	9.69	2.88	13.79	0.06	0	14.34
Erebia_ligea	3.45	8.86	1.77	21.73	0.06	0	14.23
Erynnis_tages	0.9	3.39	1.31	3.59	2.56	0	9.01
Euclidia_mi	4.5	21.78	8.75	8.16	1.11	0.02	13.5
Eueides_isabella	5.04	11.8	2.55	5.85	11.06	0	1.45
Eulithis_prunata	0.67	3.97	1.08	5.84	0.41	0.63	10.67
Eupithecia_abbreviata	3.04	16.42	1.48	6.14	0.51	0.03	10.92
Eupithecia_centaureata	5.86	12.58	3.97	9.11	0.99	0	13
Euplexia_lucipara	4.12	9.61	3.14	8.51	0.81	0	17.99
Euproctis_similis	6.24	17.81	2.48	8.35	6.59	0.03	7.84
Eupsilia_transversa	2.84	7.14	1.67	3.89	0.04	0	16.09
Fabriciana_adippe	3.67	6.03	1.92	22.66	0.63	0	9.26
