Merians	Tips	Child_node	Event
M13,MZ	Acrobasis_suavella	Acrobasis_suavella	fusion
M19,M21	Agonopterix_subpropinquella	Agonopterix_subpropinquella	fusion
M13,M4,MZ	Agonopterix_subpropinquella	Agonopterix_subpropinquella	fusion
M26,M28	Agriopis_aurantiaria	Agriopis_aurantiaria	fusion
M24,M27,M28	Agriopis_marginaria	Agriopis_marginaria	fusion
[('M24', 'M27'), ('M24', 'M28'), ('M27', 'M28')]	Agriopis_marginaria	Agriopis_marginaria	fusion
M10,M4	Agriphila_geniculea	Agriphila_geniculea	fusion
M30,MZ	Agriphila_geniculea	Agriphila_geniculea	fusion
M4,M7	Agriphila_tristella	Agriphila_tristella	fusion
M10,MZ	Agriphila_tristella	Agriphila_tristella	fusion
M2,M24	Agriphila_tristella	Agriphila_tristella	fusion
M22,M8	Agriphila_tristella	Agriphila_tristella	fusion
M18,M6	Agriphila_tristella	Agriphila_tristella	fusion
M29,M9	Agriphila_tristella	Agriphila_tristella	fusion
M13,M23	Agriphila_tristella	Agriphila_tristella	fusion
M17,M19,M20	Agriphila_tristella	Agriphila_tristella	fusion
M30,M5	Agrochola_circellaris	Agrochola_circellaris	fusion
M29,M6	Anthocharis_cardamines	Anthocharis_cardamines	fusion
M26,MZ	Boloria_selene	Boloria_selene	fusion
M31,M4	Bombyx_mori	Bombyx_mori	fusion
M16,M29	Bombyx_mori	Bombyx_mori	fusion
M27,M30	Bombyx_mori	Bombyx_mori	fusion
M23,MZ	Calamotropha_paludella	Calamotropha_paludella	fusion
M8	Celastrina_argiolus	Celastrina_argiolus	fission
M19,M6	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M15,M8	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M12,M30	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M13,M24	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M22,M26	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M21,M25	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M23,M28,M31	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M10,M27,M29	Chloroclysta_siterata	Chloroclysta_siterata	fusion
[('M10', 'M27'), ('M10', 'M29'), ('M27', 'M29')]	Chloroclysta_siterata	Chloroclysta_siterata	fusion
M25,MZ	Clostera_curtula	Clostera_curtula	fusion
M30,M31	Clostera_curtula	Clostera_curtula	fusion
M5,M6	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M1,M7	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M18,M3	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M19,M4	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M10,M31	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M22,M27	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M23,M30	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M14,M28,M29	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M12,M15,M25	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M13,M21,M26	Crocallis_elinguaria	Crocallis_elinguaria	fusion
M11,M16,M24	Crocallis_elinguaria	Crocallis_elinguaria	fusion
[('M14', 'M28'), ('M14', 'M29'), ('M28', 'M29')]	Crocallis_elinguaria	Crocallis_elinguaria	fusion
