parent	node	event	mutliplicity	cluster	ref_chr_Mcinx
n199	Pieris_brassicae	fusion	1	M17,M20,M9,M1,M5,M7, M3,M7,M4,M18	HG992211.1,HG992215.1,HG992212.1,HG992217.1,HG992219.1, HG992214.1,HG992219.1,HG992223.1,HG992220.1
n199	Pieris_brassicae	fusion	1	M26,M12,M3,M11,M1, M8,M26,M28	HG992231.1,HG992216.1,HG992214.1,HG992227.1,HG992212.1, HG992213.1,HG992231.1,HG992235.1
n199	Pieris_brassicae	fusion	1	M1,M9,M23,M4, M18,M8,M7	HG992212.1,HG992215.1,HG992228.1,HG992223.1, HG992220.1,HG992213.1,HG992219.1
n199	Pieris_brassicae	fusion	1	M17,M20,M1,M9, M22,M19	HG992211.1,HG992212.1,HG992215.1, HG992222.1,HG992233.1
n199	Pieris_brassicae	fusion	1	M12,M24,M15,M17,M20, M13,M21,M23	HG992216.1,HG992232.1,HG992224.1,HG992211.1, HG992230.1,HG992225.1,HG992228.1
n199	Pieris_brassicae	fusion	1	M19,M2,M5, M21,M17,M20,M18,M9	HG992233.1,HG992210.1,HG992217.1, HG992225.1,HG992211.1,HG992220.1,HG992215.1
n199	Pieris_brassicae	fusion	1	M16,M27,M5, M24,M3,M11	HG992221.1,HG992237.1,HG992217.1, HG992232.1,HG992214.1,HG992227.1
n199	Pieris_brassicae	fusion	1	M8,M31, M7,M4,M21,M28,M10,M25	HG992213.1,HG992234.1, HG992219.1,HG992223.1,HG992225.1,HG992235.1,HG992226.1,HG992238.1
n199	Pieris_brassicae	fusion	1	M6,M14,M13, M6,M4	HG992218.1,HG992229.1,HG992230.1, HG992218.1,HG992223.1
n199	Pieris_brassicae	fusion	1	M14,M16,M10, M15	HG992229.1,HG992221.1,HG992226.1, HG992224.1
n9	Tinea_semifulvella	fission	2	M1	HG992212.1
n9	Tinea_semifulvella	fission	1	M2	HG992210.1
n9	Tinea_semifulvella	fission	1	M17,M20	HG992211.1
n9	Tinea_semifulvella	fission	1	M8	HG992213.1
n9	Tinea_semifulvella	fission	1	M5	HG992217.1
n9	Tinea_semifulvella	fission	1	M4	HG992223.1
n9	Tinea_semifulvella	fission	1	M7	HG992219.1
n9	Tinea_semifulvella	fission	1	M18	HG992220.1
n9	Tinea_semifulvella	fission	1	M6	HG992218.1
n9	Tinea_semifulvella	fission	1	M11	HG992227.1
n9	Tinea_semifulvella	fission	1	M21	HG992225.1
n9	Tinea_semifulvella	fission	1	M15	HG992224.1
n9	Tinea_semifulvella	fission	1	M10	HG992226.1
n9	Tinea_semifulvella	fission	1	M22	HG992222.1
n213	Apeira_syringaria	fusion	1	M1, M3	HG992212.1, HG992214.1
n213	Apeira_syringaria	fusion	1	M2, M23	HG992210.1, HG992228.1
n213	Apeira_syringaria	fusion	1	M17,M20, M8	HG992211.1, HG992213.1
n213	Apeira_syringaria	fusion	1	M16, M7	HG992221.1, HG992219.1
n213	Apeira_syringaria	fusion	1	M9, M25	HG992215.1, HG992238.1
n213	Apeira_syringaria	fusion	1	M5, M24	HG992217.1, HG992232.1
n213	Apeira_syringaria	fusion	1	M12, M15	HG992216.1, HG992224.1
n213	Apeira_syringaria	fusion	1	M4, M18	HG992223.1, HG992220.1
n213	Apeira_syringaria	fusion	1	M6, M10	HG992218.1, HG992226.1
n213	Apeira_syringaria	fusion	1	M11, M14	HG992227.1, HG992229.1
n213	Apeira_syringaria	fusion	1	M21, M8,M17,M20	HG992225.1, HG992213.1,HG992211.1
n213	Apeira_syringaria	fusion	1	M22, M13	HG992222.1, HG992230.1
n213	Apeira_syringaria	fusion	1	MZ, M19	HG992209.1, HG992233.1
n213	Apeira_syringaria	fusion	1	M31, M1,M3	HG992234.1, HG992212.1,HG992214.1
n213	Apeira_syringaria	fusion	1	M29, M6,M10	HG992239.1, HG992218.1,HG992226.1
n213	Apeira_syringaria	fusion	1	M18,M4, M13,M22	HG992220.1,HG992223.1, HG992230.1,HG992222.1
n213	Apeira_syringaria	fusion	1	M11,M14, M8,M17,M20,M21	HG992227.1,HG992229.1, HG992213.1,HG992211.1,HG992225.1
n213	Apeira_syringaria	fusion	1	M1,M3,M31, M6,M10,M29	HG992212.1,HG992214.1,HG992234.1, HG992218.1,HG992226.1,HG992239.1
n213	Apeira_syringaria	fusion	1	M13,M18,M22,M4, M6,M1,M10,M3,M31,M29	HG992230.1,HG992220.1,HG992222.1,HG992223.1, HG992218.1,HG992212.1,HG992226.1,HG992214.1,HG992234.1,HG992239.1
