species	rep_corr	rep_pvalue	synteny_corr	synteny_pvalue	cds_corr	cds_pvalue	ortho_corr	ortho_pvalue	gc_corr	gc_pvalue	gc3_corr	gc3_pvalue
Abrostola_tripartita	-0.7984427	1.27E-06	-0.8220245	9.73E-07	0.34193548	0.06497718	0.34727475	6.07E-02	0.78731924	1.52E-06	-0.6983315	2.93E-05
Acentria_ephemerella	-0.4958843	5.86E-03	-0.8238042	9.55E-07	0.15420561	0.41586649	0.06963293	0.71381297	0.66985539	7.76E-05	-0.6137931	0.00040778
Acleris_emargana	-0.4931034	7.19E-03	-0.7413793	8.24E-06	0.44433498	0.01656417	0.02167488	9.12E-01	0.65566502	0.00016182	-0.5536946	0.00215666
Acleris_sparsana	-0.6118227	0.00054718	-0.846798	9.96E-07	0.53300493	0.00332868	-0.0463054	0.81123263	0.73842365	9.22E-06	-0.4950739	6.93E-03
Acrobasis_suavella	-0.7241379	1.59E-05	-0.6522167	0.00017932	0.41231527	0.02711402	-0.1448276	4.52E-01	0.65812808	1.50E-04	-0.7433498	7.65E-06
Acronicta_aceris	-0.8020022	1.21E-06	-0.876307	4.63E-07	0.52508622	0.00288865	0.00867631	0.96440377	0.79221357	1.40E-06	-0.5096774	0.00448768
Agonopterix_arenella	-0.5990148	0.00075628	-0.755665	4.85E-06	0.36157635	0.05466948	0.0182266	0.9257409	0.49753695	0.00662433	-0.4	0.03242378
Agonopterix_subpropinquella	-0.5357265	5.41E-03	-0.6464957	0.00048636	0.51794872	0.00744052	0.09401709	6.47E-01	0.6574359	3.64E-04	0.05230769	0.79948964
Agriopis_aurantiaria	-0.7279693	1.95E-05	-0.9348659	3.09E-07	0.54789272	0.00294945	-0.1122058	5.68E-01	0.71154899	3.56E-05	-0.4444444	0.01869465
Agriopis_marginaria	-0.7716728	5.25E-06	-0.9566545	3.04E-07	0.52136752	0.00590562	0.19169719	0.33656905	0.76190476	7.58E-06	-0.5561661	0.00302109
Agriphila_geniculea	-0.2142857	0.28181212	-0.6855922	0.0001186	0.3015873	0.12632131	0.49206349	0.00990221	0.68376068	0.00012556	0.3034188	0.12394943
Agriphila_tristella	-0.3142857	2.54E-01	-0.5428571	0.03915856	0.35714286	0.19162017	0.15714286	0.5755536	0.83214286	0.00015777	0.325	0.23698229
Agrochola_circellaris	-0.3464696	7.15E-02	-0.7411056	1.18E-05	0.42966612	0.02340733	0.47400109	0.0116082	0.45484401	0.01587529	-0.1510673	0.44119269
Agrochola_macilenta	-0.4883204	6.76E-03	-0.767297	2.45E-06	0.41045606	0.02509423	0.3512792	5.76E-02	0.65517241	1.24E-04	-0.0629588	0.74032525
Agrotis_puta	-0.7873192	1.52E-06	-0.8665184	5.54E-07	0.3868743	0.03550251	0.33882091	6.76E-02	0.68542825	4.61E-05	-0.4562848	0.01198536
Allophyes_oxyacanthae	-0.3290323	7.63E-02	-0.8487208	7.22E-07	0.33036707	0.07506227	-0.0491657	7.96E-01	0.78020022	1.76E-06	-0.1973304	0.29458457
