Merian_element	average_prop_length_per_Merian	avg_scaled_repeat_density	sd_scaled_repeat_density	avg_scaled_gc	sd_scaled_gc	avg_scaled_gc3	sd_scaled_gc3	avg_scaled_cds_density	sd_scaled_cds_density	avg_synteny	sd_synteny	avg_prop_single_copy	sd_prop_single_copy
M1	3.9542998	0.86031013	0.07106439	0.99954646	0.0063012	0.98140607	0.02217568	1.25871746	0.1114728	93.0678773	3.98945469	42.5173257	6.82808055
M10	3.25941447	0.9809362	0.03973117	1.00085561	0.00492192	1.0190402	0.01878817	1.10099065	0.03977428	90.7713659	5.94004423	31.51717	5.66401195
M11	3.19658125	0.95895708	0.041082	1.0070204	0.00522354	1.02674454	0.01917581	1.11625047	0.05611474	88.7303352	3.97437306	33.8506409	5.87247593
M12	3.72200454	0.91896514	0.06365975	0.98785924	0.00584331	0.97663148	0.01650232	0.89030241	0.05360922	89.8485039	5.88103969	32.6392384	5.7471443
M13	2.98183287	0.97046237	0.04165315	0.99627484	0.0053395	0.99853461	0.01672479	0.92855471	0.05917345	93.7716198	6.10800054	35.2739186	6.89169977
M14	3.01195072	1.04519975	0.04763765	1.00687071	0.00435923	1.03163032	0.01752424	1.15106957	0.06023682	87.1399651	5.83662839	31.0683046	5.32401608
M15	3.29042248	0.93632585	0.04439836	0.99728429	0.00438558	1.01599694	0.01469298	0.9922032	0.04181759	94.7980642	4.30435075	39.2032112	6.46917564
M16	3.53443567	0.91323595	0.04898705	0.98923371	0.00568455	0.97404472	0.0195386	0.85104872	0.04320081	92.176956	5.39087611	34.5037292	6.30130267
M17.M20	4.00475538	0.92456908	0.05418012	0.99931096	0.00535461	1.00590011	0.0195104	1.28733217	0.08829437	91.8244359	3.23012509	35.9202977	5.59834482
M18	3.60738076	0.89636224	0.04752667	0.98656731	0.00478108	1.00509943	0.01657689	0.82036427	0.04715467	94.32172	5.05997377	30.9387281	6.27141695
M19	2.69664474	1.1258634	0.07558956	1.01417325	0.00862653	1.03649339	0.0257161	1.05298945	0.09693729	88.5837065	6.99890955	28.4151153	7.18073138
M2	4.12060824	0.88565366	0.06864623	0.99430685	0.00602792	0.99109904	0.0176931	1.111512	0.07281962	90.8136728	4.61973846	37.810747	5.90705983
M21	3.40938296	0.94007486	0.04944211	0.9915092	0.00509589	0.96940374	0.01809626	0.90651903	0.04754763	93.9861963	5.95838184	34.2183503	6.39643782
M22	3.36736053	0.96479483	0.05127106	0.99506912	0.00485553	1.00894789	0.01810519	0.85415949	0.04556326	88.4507628	6.9250869	32.0584441	5.64378603
M23	3.21915265	1.0206297	0.05080884	1.00369773	0.00563184	1.03100947	0.03321023	0.85089789	0.1121914	90.3047366	5.94466534	28.4256155	10.2439209
M24	2.63621776	1.12548759	0.07189189	1.0028783	0.00910007	1.01809647	0.02811782	0.82548034	0.05363051	90.0933793	6.94892625	32.451325	5.84492544
M25	1.8776083	1.26865231	0.15920537	1.0224402	0.01386796	1.01965105	0.03838183	1.05287654	0.13933027	78.8691044	10.4285904	24.246422	5.64231595
M26	2.56648909	1.17208738	0.10646007	1.00545225	0.011388	0.96996838	0.02857348	0.72755051	0.07479859	87.622397	7.37716059	24.8119494	6.01722888
M27	2.28563688	1.17962864	0.11000164	1.00807885	0.0121904	0.97489057	0.03859637	0.74886112	0.07068716	88.574371	10.9169582	27.043243	6.42642106
M28	2.34421876	1.02035045	0.06757612	1.00789639	0.00747459	1.07564346	0.03822923	0.90436297	0.07340912	90.2947904	8.39611421	22.5483008	5.19352672
M29	1.75470312	1.40039666	0.21431252	1.0303797	0.01782526	1.02129541	0.04000342	0.93553686	0.12002044	54.0774808	10.8674271	22.9884393	4.29787535
M3	3.82651873	0.85247999	0.06778222	0.99893859	0.00645031	0.99136645	0.01962289	1.21163097	0.10157487	95.3416999	3.88524087	43.7328965	6.64338084
M30	1.91523159	1.39325874	0.20427363	1.05361355	0.02090251	1.04576048	0.05987604	1.26423044	0.22721284	60.1400326	11.2132613	17.4605162	5.55623503
M31	1.79702093	1.45175625	0.22063943	1.0373315	0.02235602	0.97199296	0.06801767	1.21386884	0.21686194	49.6017794	10.6219589	21.9204728	5.61729028
M4	3.44140973	0.92376337	0.05072001	0.99646629	0.00452919	0.97839587	0.01883513	1.02487559	0.06734907	93.8277775	4.94075664	42.4582301	6.94996626
M5	3.73978176	0.93861183	0.06493532	0.99238947	0.00444339	0.97693716	0.01887128	1.06913678	0.06403316	87.6205852	6.90120947	37.9741748	5.89216127
M6	3.49987658	0.95186437	0.04590125	0.99629231	0.00480926	1.01807221	0.0145571	1.02462952	0.08404608	93.8486223	4.99872901	37.8365204	6.25503449
M7	3.67892715	0.96698919	0.0481451	0.99664238	0.00529564	1.00251252	0.0142305	1.05866901	0.06004913	91.5957729	5.744427	33.9676889	5.86223925
M8	3.87780035	0.91686913	0.06756458	0.99108052	0.00570985	0.96432589	0.01927233	0.95412625	0.06602736	90.9408163	5.55566037	36.8684812	5.96025637
M9	3.85742317	0.90157761	0.05837152	0.98577361	0.00574201	0.96336045	0.02066346	0.94389737	0.05165729	93.4719783	4.93298288	32.027865	6.36026283
MZ	4.77091347	0.96789419	0.10576599	0.9894575	0.01047205	0.99492906	0.03647308	0.98352543	0.11197729	79.2383893	8.01451891	25.955625	6.13004989
