# BUSCO version is: 5.0.0 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2020-08-05, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	OW569341.1	6615137	6755099	+	16791.1	8335	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	OW569320.1	22264843	22397463	+	9372.3	6645	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	OW569332.1	10381586	10482463	-	24832.4	16092	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	OW569324.1	15289827	15404377	+	10085.8	6713	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	OW569321.1	21914004	22030138	-	12732.4	7724	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	OW569324.1	1441842	1582228	+	8223.9	4320	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	OW569337.1	5542208	5677777	+	7809.6	4213	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	OW569329.1	330036	392473	-	7942.5	4051	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	OW569337.1	11572255	11612600	+	7151.3	4319	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	OW569325.1	22240499	22263440	+	6968.3	3246	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	OW569337.1	6859596	6871806	-	6769.6	3494	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	OW569321.1	15060118	15131890	+	6553.2	3476	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	OW569320.1	20409028	20504202	+	6494.9	3597	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	OW569321.1	13395616	13460495	-	4459.4	3940	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	OW569341.1	3722166	3753704	+	6503.8	3897	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	OW569321.1	4497770	4538556	-	6338.5	3199	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	OW569321.1	17771352	17811840	+	6948.0	3559	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	OW569340.1	4746151	4775813	-	6147.8	3766	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	OW569320.1	25562691	25594110	+	5348.6	3076	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	OW569341.1	912156	962625	+	3477.3	2497	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	OW569324.1	8769822	8808264	+	5961.8	3017	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	OW569325.1	10900098	10953999	-	6995.8	4019	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	OW569324.1	18885500	18924022	-	5049.8	2578	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
