# BUSCO version is: 5.0.0 
# The lineage dataset is: lepidoptera_odb10 (Creation date: 2020-08-05, number of species: 16, number of BUSCOs: 5286)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at7088	Complete	HG992126.1	2159291	2307730	-	16191.8	8234	https://www.orthodb.org/v10?query=0at7088	twitchin
1at7088	Complete	HG992055.1	8551100	8686303	-	9349.3	6658	https://www.orthodb.org/v10?query=1at7088	titin
2at7088	Complete	HG992087.1	4719693	4821724	-	25025.4	20169	https://www.orthodb.org/v10?query=2at7088	Notch-like protein
3at7088	Complete	HG992086.1	4861874	4985210	-	10095.1	6551	https://www.orthodb.org/v10?query=3at7088	nesprin-1 isoform X1
4at7088	Complete	HG992068.1	2975864	3087702	+	12835.5	7555	https://www.orthodb.org/v10?query=4at7088	uncharacterized protein LOC110381036
6at7088	Complete	HG992064.1	5734017	5873068	-	8203.0	4319	https://www.orthodb.org/v10?query=6at7088	cadherin-related tumor suppressor
11at7088	Complete	HG992116.1	4490091	4650212	-	7432.2	4225	https://www.orthodb.org/v10?query=11at7088	LOW QUALITY PROTEIN: dynein heavy chain 10, axonemal
13at7088	Complete	HG992073.1	322245	385385	-	7897.2	3909	https://www.orthodb.org/v10?query=13at7088	dynein beta chain, ciliary
18at7088	Complete	HG992120.1	2948393	2995367	-	7503.2	4341	https://www.orthodb.org/v10?query=18at7088	midasin isoform X1
20at7088	Complete	HG992061.1	5464379	5484210	+	6870.8	3216	https://www.orthodb.org/v10?query=20at7088	uncharacterized protein LOC106115754
25at7088	Complete	HG992116.1	3152229	3164288	+	6753.6	3494	https://www.orthodb.org/v10?query=25at7088	dynein heavy chain 12, axonemal
26at7088	Complete	HG992109.1	3398459	3484311	-	6514.1	3467	https://www.orthodb.org/v10?query=26at7088	dynein heavy chain 7, axonemal
27at7088	Complete	HG992055.1	10799878	10906557	-	6543.8	3559	https://www.orthodb.org/v10?query=27at7088	dynein heavy chain 6, axonemal
28at7088	Complete	HG992133.1	216648	281235	+	4468.3	3803	https://www.orthodb.org/v10?query=28at7088	LOW QUALITY PROTEIN: hydrocephalus-inducing protein-like
31at7088	Complete	HG992123.1	3979950	4014455	+	6395.9	3896	https://www.orthodb.org/v10?query=31at7088	uncharacterized protein LOC110998976
33at7088	Complete	HG992096.1	4618627	4658719	-	6348.2	3155	https://www.orthodb.org/v10?query=33at7088	transformation/transcription domain-associated protein
34at7088	Complete	HG992109.1	409373	456172	-	6929.7	3556	https://www.orthodb.org/v10?query=34at7088	uncharacterized protein KIAA1109
36at7088	Complete	HG992142.1	1382744	1405348	-	6175.1	3726	https://www.orthodb.org/v10?query=36at7088	histone-lysine N-methyltransferase trithorax
37at7088	Complete	HG992055.1	4752882	4792943	-	5485.4	3056	https://www.orthodb.org/v10?query=37at7088	laminin subunit alpha
38at7088	Complete	HG992123.1	872757	903559	+	3662.5	2542	https://www.orthodb.org/v10?query=38at7088	apolipophorins isoform X1
41at7088	Complete	HG992062.1	5973114	6005061	-	5591.0	2886	https://www.orthodb.org/v10?query=41at7088	WD repeat and FYVE domain-containing protein 3 isoform X1
43at7088	Complete	HG992104.1	39070	132386	+	6985.7	4013	https://www.orthodb.org/v10?query=43at7088	histone-lysine N-methyltransferase 2C-like
46at7088	Complete	HG992086.1	1186214	1222499	+	5050.2	2572	https://www.orthodb.org/v10?query=46at7088	protein bark beetle isoform X1
47at7088	Complete	HG992088.1	5344505	5416933	+	4804.7	2844	https://www.orthodb.org/v10?query=47at7088	uncharacterized protein LOC106111021
48at7088	Complete	HG992066.1	211876	305997	-	5021.5	2578	https://www.orthodb.org/v10?query=48at7088	dmX-like protein 2 isoform X1
49at7088	Complete	HG992118.1	2549744	2639703	-	3703.9	2896	https://www.orthodb.org/v10?query=49at7088	hemocytin
50at7088	Complete	HG992078.1	5364168	5424679	-	5024.1	2359	https://www.orthodb.org/v10?query=50at7088	teneurin-3 isoform X1
51at7088	Complete	HG992086.1	5600315	5624303	-	3996.0	2401	https://www.orthodb.org/v10?query=51at7088	protein dachsous
52at7088	Complete	HG992059.1	6240089	6314728	-	5017.5	2786	https://www.orthodb.org/v10?query=52at7088	protein unc-80 homolog
54at7088	Complete	HG992075.1	4459116	4735894	-	5097.9	2455	https://www.orthodb.org/v10?query=54at7088	teneurin-m isoform X1
56at7088	Complete	HG992061.1	2644799	2735593	+	4678.2	2694	https://www.orthodb.org/v10?query=56at7088	vacuolar protein sorting-associated protein 13A isoform X2
57at7088	Complete	HG992133.1	3628367	3653439	+	4544.1	2329	https://www.orthodb.org/v10?query=57at7088	uncharacterized protein LOC106133612
59at7088	Complete	HG992120.1	4579195	4617325	-	5048.9	4120	https://www.orthodb.org/v10?query=59at7088	uncharacterized protein LOC106102106
60at7088	Complete	HG992091.1	43330	133430	-	5292.2	3479	https://www.orthodb.org/v10?query=60at7088	fat-like cadherin-related tumor suppressor homolog
63at7088	Complete	HG992125.1	3622508	3682636	-	4485.5	2773	https://www.orthodb.org/v10?query=63at7088	vacuolar protein sorting-associated protein 13A-like
64at7088	Complete	HG992087.1	4118263	4136719	+	4010.8	2007	https://www.orthodb.org/v10?query=64at7088	LOW QUALITY PROTEIN: carbamoyl-phosphate synthase large chain, chloroplastic
65at7088	Complete	HG992108.1	2355567	2654618	+	4635.6	2419	https://www.orthodb.org/v10?query=65at7088	neurobeachin
66at7088	Complete	HG992082.1	695170	722834	+	3999.2	1838	https://www.orthodb.org/v10?query=66at7088	Pre-mRNA-processing-splicing factor 8
68at7088	Complete	HG992055.1	29733841	29928505	-	4956.6	2479	https://www.orthodb.org/v10?query=68at7088	protein furry isoform X1
69at7088	Complete	HG992129.1	1252663	1268393	-	3980.9	2150	https://www.orthodb.org/v10?query=69at7088	serine/threonine-protein kinase mTOR-like
70at7088	Complete	HG992085.1	5860014	5871230	+	4090.1	2951	https://www.orthodb.org/v10?query=70at7088	cubilin
72at7088	Complete	HG992099.1	1582166	1734165	-	4678.2	2483	https://www.orthodb.org/v10?query=72at7088	filamin-A
74at7088	Complete	HG992074.1	3056189	3144090	-	4792.9	2310	https://www.orthodb.org/v10?query=74at7088	zinc finger homeobox protein 3
78at7088	Complete	HG992143.1	1973524	2049111	-	5199.9	3366	https://www.orthodb.org/v10?query=78at7088	Survivin-1
83at7088	Complete	HG992123.1	2497309	2572928	-	4311.2	2194	https://www.orthodb.org/v10?query=83at7088	Inositol 1,4,5-trisphosphate receptor
84at7088	Complete	HG992110.1	987738	1026708	-	4777.5	2405	https://www.orthodb.org/v10?query=84at7088	ubiquitin carboxyl-terminal hydrolase 34
86at7088	Complete	HG992092.1	1136448	1176293	+	3449.3	2206	https://www.orthodb.org/v10?query=86at7088	serine/threonine-protein kinase ATR-like
88at7088	Complete	HG992117.1	1853848	1891307	+	5600.8	2992	https://www.orthodb.org/v10?query=88at7088	uncharacterized protein LOC101743552
96at7088	Complete	HG992055.1	26733075	26888547	-	3905.6	2039	https://www.orthodb.org/v10?query=96at7088	chondroitin sulfate proteoglycan 4
101at7088	Complete	HG992055.1	25762090	25967922	+	3295.6	1866	https://www.orthodb.org/v10?query=101at7088	E3 ubiquitin-protein ligase MYCBP2 isoform X1
