busco_id	assembly	Sequence	start	end	Merian	short_species_id	multispecies_sequence	nGenes	mxGpos	count
1004at7088	Tinea_trinotella	HG992312.1	5045494	5142644	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
1004at7088	Micropterix_aruncella	OX155968.1	5284892	5468705	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
1004at7088	Limnephilus_rhombicus	OV815292.1	37112472	37357749	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
1004at7088	Melitaea_cinxia	HG992211.1	8047206	8124508	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
1004at7088	Diarsia_rubi	OW026414.1	9526955	9596532	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
1004at7088	Glyphotaelius_pellucidus	OW386559.1	11439152	11636280	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
10067at7088	Glyphotaelius_pellucidus	OW386562.1	12627735	12629171	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
10067at7088	Limnephilus_rhombicus	OV815294.1	3158251	3164456	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
10067at7088	Micropterix_aruncella	OX155973.1	17874013	17881350	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
10067at7088	Diarsia_rubi	OW026414.1	14270636	14272040	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
10067at7088	Tinea_trinotella	HG992312.1	9032517	9034367	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
10067at7088	Melitaea_cinxia	HG992211.1	12995618	12996954	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
1009at7088	Tinea_trinotella	HG992312.1	12159711	12260541	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
1009at7088	Micropterix_aruncella	OX155973.1	538036	578565	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
1009at7088	Diarsia_rubi	OW026414.1	18951092	19074228	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
1009at7088	Glyphotaelius_pellucidus	OW386562.1	4572247	4606269	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
1009at7088	Melitaea_cinxia	HG992211.1	16898658	16994840	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
1009at7088	Limnephilus_rhombicus	OV815294.1	23725934	23778326	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
10186at7088	Glyphotaelius_pellucidus	OW386562.1	1644500	1661776	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
10186at7088	Diarsia_rubi	OW026414.1	21484963	21513957	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
10186at7088	Limnephilus_rhombicus	OV815294.1	38966688	39008250	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
10186at7088	Micropterix_aruncella	OX155973.1	18563559	18592506	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
10186at7088	Melitaea_cinxia	HG992211.1	18811845	18827135	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
10186at7088	Tinea_trinotella	HG992312.1	13883428	13895425	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
10244at7088	Micropterix_aruncella	OX155968.1	15249130	15279137	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
10244at7088	Limnephilus_rhombicus	OV815292.1	29325499	29342117	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
10244at7088	Glyphotaelius_pellucidus	OW386559.1	19929667	19940324	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
10244at7088	Melitaea_cinxia	HG992211.1	3729607	3751361	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
10244at7088	Tinea_trinotella	HG992312.1	1854624	1860646	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
10244at7088	Diarsia_rubi	OW026414.1	4306837	4322938	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10348at7088	Micropterix_aruncella	OX155968.1	8326332	8388451	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
10348at7088	Melitaea_cinxia	HG992211.1	7638486	7679776	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
10348at7088	Diarsia_rubi	OW026414.1	9190784	9225266	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10348at7088	Tinea_trinotella	HG992312.1	4700073	4731792	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
10348at7088	Glyphotaelius_pellucidus	OW386559.1	17010931	17083855	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
10348at7088	Limnephilus_rhombicus	OV815292.1	19970178	20112444	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
10459at7088	Melitaea_cinxia	HG992211.1	5979757	5995214	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
10459at7088	Glyphotaelius_pellucidus	OW386559.1	12332722	12379811	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
10459at7088	Micropterix_aruncella	OX155968.1	20313856	20321187	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
10459at7088	Tinea_trinotella	HG992312.1	3459759	3462005	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
10459at7088	Limnephilus_rhombicus	OV815292.1	22980532	23144654	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
10459at7088	Diarsia_rubi	OW026414.1	7361120	7365577	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10462at7088	Glyphotaelius_pellucidus	OW386562.1	13092884	13173608	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
10462at7088	Melitaea_cinxia	HG992211.1	16672966	16714214	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
10462at7088	Micropterix_aruncella	OX155973.1	6917536	6937391	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
10462at7088	Diarsia_rubi	OW026414.1	18685899	18730433	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
10462at7088	Limnephilus_rhombicus	OV815294.1	3894941	3999732	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
10462at7088	Tinea_trinotella	HG992312.1	11983477	12021021	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
10536at7088	Limnephilus_rhombicus	OV815294.1	34426569	34440587	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
10536at7088	Glyphotaelius_pellucidus	OW386562.1	10946908	10952223	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
10536at7088	Tinea_trinotella	HG992312.1	10637352	10640763	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
10536at7088	Diarsia_rubi	OW026414.1	16380672	16383639	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
10536at7088	Micropterix_aruncella	OX155973.1	1366513	1377102	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
10536at7088	Melitaea_cinxia	HG992211.1	15069232	15075455	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
10650at7088	Melitaea_cinxia	HG992211.1	7615222	7618499	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
10650at7088	Glyphotaelius_pellucidus	OW386559.1	17142499	17157870	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
