species	chr	repeat_density	midpos	assigned_merian	genome_size	prop_midpos	plot_colour
Agrochola_circellaris	OU611839.1	43.139	10.95	M30,M5	572.162832	1.91379086294791	M5
Agrochola_circellaris	OU611839.1	51.411	8.45	M30,M5	572.162832	1.47685230976346	M5
Agrochola_circellaris	OU611839.1	49.784	3.35	M30,M5	572.162832	0.585497661267169	M5
Agrochola_circellaris	OU611839.1	52.66	26.15	M30,M5	572.162832	4.57037726630939	M30
Agrochola_circellaris	OU611839.1	41.159	13.45	M30,M5	572.162832	2.35072941613236	M5
Agrochola_circellaris	OU611839.1	44.721	13.65	M30,M5	572.162832	2.38568450038712	M5
Agrochola_circellaris	OU611839.1	35.961	11.45	M30,M5	572.162832	2.0011785735848	M5
Agrochola_circellaris	OU611839.1	24.499	10.85	M30,M5	572.162832	1.89631332082053	M5
Agrochola_circellaris	OU611839.1	80.842	21.25	M30,M5	572.162832	3.71397770206786	M5
Agrochola_circellaris	OU611839.1	42.761	20.75	M30,M5	572.162832	3.62658999143097	M5
Agrochola_circellaris	OU611839.1	37.236	10.65	M30,M5	572.162832	1.86135823656578	M5
Agrochola_circellaris	OU611839.1	41.849	2.55	M30,M5	572.162832	0.445677324248143	M5
Agrochola_circellaris	OU611839.1	45.661	3.25	M30,M5	572.162832	0.568020119139791	M5
Agrochola_circellaris	OU611839.1	28.231	2.65	M30,M5	572.162832	0.463154866375522	M5
Agrochola_circellaris	OU611839.1	73.518	23.95	M30,M5	572.162832	4.18587133950707	M5
Agrochola_circellaris	OU611839.1	47.116	13.55	M30,M5	572.162832	2.36820695825974	M5
Agrochola_circellaris	OU611839.1	32.937	0.25	M30,M5	572.162832	0.0436938553184454	M5
Agrochola_circellaris	OU611839.1	55.691	24.55	M30,M5	572.162832	4.29073659227134	M30
Agrochola_circellaris	OU611839.1	78.223	21.65	M30,M5	572.162832	3.78388787057737	M5
Agrochola_circellaris	OU611839.1	75.197	23.75	M30,M5	572.162832	4.15091625525232	M5
Agrochola_circellaris	OU611839.1	43.441	13.75	M30,M5	572.162832	2.4031620425145	M5
Agrochola_circellaris	OU611839.1	29.471	2.85	M30,M5	572.162832	0.498109950630278	M5
Agrochola_circellaris	OU611839.1	31.88	2.35	M30,M5	572.162832	0.410722239993387	M5
Agrochola_circellaris	OU611839.1	49.464	13.25	M30,M5	572.162832	2.31577433187761	M5
Agrochola_circellaris	OU611839.1	34.935	2.75	M30,M5	572.162832	0.4806324085029	M5
Agrochola_circellaris	OU611839.1	53.091	26.05	M30,M5	572.162832	4.55289972418201	M30
Agrochola_circellaris	OU611839.1	64.234	24.95	M30,M5	572.162832	4.36064676078085	M30
Agrochola_circellaris	OU611839.1	54.85	25.55	M30,M5	572.162832	4.46551201354512	M30
Agrochola_circellaris	OU611839.1	18.15	11.65	M30,M5	572.162832	2.03613365783956	M5
Agrochola_circellaris	OU611839.1	54.175	25.75	M30,M5	572.162832	4.50046709779988	M30
Agrochola_circellaris	OU611839.1	82.849	21.55	M30,M5	572.162832	3.76641032845	M5
Agrochola_circellaris	OU611839.1	45.2	12.95	M30,M5	572.162832	2.26334170549547	M5
