species	chr	length	assigned_merian	repeat_density	genome_repeat_density	cds_density	synteny	genome_synteny	gc	gc123	gc3_per	genome_gc3_per	num_single_copy_genes	num_multi_copy_genes	num_other_genes	superfamily	genome_size	status	merians	prop_length	length_mb	prop_single_copy	total_orthologs	scaled_gc3	feature_column	feature_mult	cds_density_scale_factor	prop_single_copy_scale_factor	gc_scale_factor	scaled_cds_density	scaled_ortholog_prop	scaled_gc	scaled_repeat_density	start	stop	tempvar
Lysandra_bellargus	HG995344.1	10239049	M9	53.88274	5424.3326254584	3.29232	NA	76.7047920682067	0.361655202060269	0.491952043494955	0.587208660032906	0.604956988818272	85	46	107	Papilionoidea	528933758	split	M9	1.93579041706769	10.239049	35.7142857142857	238	0.970661833628807	0.361655202060269	3703005.335	3.73849382204348	37.1955975693574	0.364543554032337	0.880654123483452	0.960175075765094	0.992076798670232	0.00993352430990466	0	10239049	Lysandra
Lysandra_bellargus	HG995349.1	9990636	M1	51.21021	5424.3326254584	4.68556	NA	76.7047920682067	0.369520487384387	0.509160964273447	0.619182176516807	0.604956988818272	126	30	158	Papilionoidea	528933758	split	M1	1.8888255568668	9.990636	40.1273885350318	314	1.02351437864421	0.369520487384387	3691744.684	3.73849382204348	37.1955975693574	0.364543554032337	1.25332827150129	1.07882091315263	1.01365250680474	0.00944083144157707	0	9990636	Lysandra
Lysandra_bellargus	HG995328.1	12686379	M2	52.6395	5424.3326254584	4.2229	NA	76.7047920682067	0.367269864474331	0.511259295347244	0.609578997657676	0.604956988818272	157	38	141	Papilionoidea	528933758	split	M2	2.39848162612453	12.686379	46.7261904761905	336	1.00764022719769	0.367269864474331	4659324.696	3.73849382204348	37.1955975693574	0.364543554032337	1.12957255007359	1.25622905745933	1.00747869606207	0.00970432745089107	0	12686379	Lysandra
Lysandra_bellargus	HG995339.1	11086604	M12,M29	55.46908	5424.3326254584	4.05468	NA	76.7047920682067	0.365337668414963	0.520678707617842	0.653305126882998	0.604956988818272	77	37	172	Papilionoidea	528933758	fusion	M12,M29	2.09602881879209	11.086604	26.9230769230769	286	1.07991995953162	0.365337668414963	4050354.056	3.73849382204348	37.1955975693574	0.364543554032337	1.08457581930246	0.723824287884455	1.00217837998736	0.0102259731897087	0	11086604	Lysandra
Lysandra_bellargus	HG995340.1	11028691	M23	51.42152	5424.3326254584	3.53411	93.5185185185185	76.7047920682067	0.363928752106664	0.518632753509261	0.624972447631721	0.604956988818272	107	22	114	Papilionoidea	528933758	ancestral	M23	2.08507981069342	11.028691	44.0329218106996	243	1.03308575515847	0.363928752106664	4013657.753	3.73849382204348	37.1955975693574	0.364543554032337	0.945329902422639	1.18382079300091	0.998313502134733	0.00947978738594675	0	11028691	Lysandra
Lysandra_bellargus	HG995341.1	10807506	M6	53.53788	5424.3326254584	3.95477	NA	76.7047920682067	0.366059930385419	0.526609667054529	0.633637280983328	0.604956988818272	131	19	128	Papilionoidea	528933758	split	M6	2.04326266503867	10.807506	47.1223021582734	278	1.04740881202328	0.366059930385419	3956194.894	3.73849382204348	37.1955975693574	0.364543554032337	1.05785115296467	1.26687848126128	1.00415965756714	0.00986994782523603	0	10807506	Lysandra
Lysandra_bellargus	HG995342.1	10760480	M18,M30	53.15294	5424.3326254584	5.369	NA	76.7047920682067	0.370393157182579	0.530053081065844	0.648217513050008	0.604956988818272	102	62	253	Papilionoidea	528933758	fusion	M18,M30	2.03437194870818	10.76048	24.4604316546763	417	1.0715100825866	0.370393157182579	3985608.16	3.73849382204348	37.1955975693574	0.364543554032337	1.43613986155132	0.657616310883719	1.01604637658666	0.00979898241316057	0	10760480	Lysandra
Lysandra_bellargus	HG995345.1	10162550	M3	51.34062	5424.3326254584	3.54778	NA	76.7047920682067	0.365063901284619	0.492181274233477	0.577894358682488	0.604956988818272	116	19	96	Papilionoidea	528933758	split	M3	1.92132754740906	10.16255	50.2164502164502	231	0.955265199615846	0.365063901284619	3709980.15	3.73849382204348	37.1955975693574	0.364543554032337	0.948986455208522	1.35006434895456	1.00142739391912	0.0094648731088207	0	10162550	Lysandra
Lysandra_bellargus	HG995346.1	10086724	M1	51.97402	5424.3326254584	5.24838	NA	76.7047920682067	0.362390065198572	0.48730958431072	0.555308296490606	0.604956988818272	164	28	119	Papilionoidea	528933758	split	M1	1.90699191485524	10.086724	52.7331189710611	311	0.917930211163194	0.362390065198572	3655328.568	3.73849382204348	37.1955975693574	0.364543554032337	1.40387553111729	1.41772474209431	0.99409264322481	0.00958164323405734	0	10086724	Lysandra
Lysandra_bellargus	HG995348.1	10042148	M2	51.61822	5424.3326254584	3.69289	NA	76.7047920682067	0.363030197523478	0.518980812146929	0.604697052204433	0.604956988818272	107	37	131	Papilionoidea	528933758	split	M2	1.89856439452291	10.042148	38.9090909090909	275	0.999570322157371	0.363030197523478	3645602.972	3.73849382204348	37.1955975693574	0.364543554032337	0.987801552118508	1.04606710072444	0.995848626338008	0.00951604991141888	0	10042148	Lysandra
