assigned_ref_chr	species	chr	length	genome_size	prop_length	status	Merian_f	num_obs
M1	Ennomos_fuscantarius	HG992025.1	18208953	444925538	4.09258436408296	ancestral	M1	183
M1	Allophyes_oxyacanthae	OW028612.1	18724328	458479537	4.08400517120571	ancestral	M1	183
M1	Calamotropha_paludella	OV656807.1	30272590	742481776	4.07721656995929	ancestral	M1	183
M1	Agriopis_marginaria	OW029915.1	21316241	500896711	4.25561608449052	ancestral	M1	183
M1	Phalera_bucephala	LR990622.1	33064216	933147695	3.54329932733746	ancestral	M1	183
M1	Erebia_ligea	OU785219.1	22722498	506397422	4.4870880089117	ancestral	M1	183
M1	Apamea_monoglypha	OU426921.1	21013774	575683298	3.65023165914395	ancestral	M1	183
M1	Sesia_bembeciformis	OX031025.1	20934934	477151446	4.3874820406601	ancestral	M1	183
M1	Pheosia_tremula	HG995397.1	12641679	290221673	4.35587007314922	ancestral	M1	183
M1	Lymantria_monacha	LR991084.1	38027882	915668749	4.15301734841668	ancestral	M1	183
M1	Lobophora_halterata	OW052001.1	12870039	314876238	4.08733256016607	ancestral	M1	183
M1	Eilema_sororcula	OU618537.1	27370357	729417332	3.75235901304303	ancestral	M1	183
M1	Hecatera_dysodea	HG995292.1	23293987	640911623	3.63450843518249	ancestral	M1	183
M1	Acrobasis_suavella	OW971929.1	28402000	647282432	4.38788364952874	ancestral	M1	183
M1	Peribatodes_rhomboidaria	OU452169.1	18726518	499728750	3.74733653006756	ancestral	M1	183
M1	Blastobasis_adustella	OU026116.1	21406676	557440016	3.84017569345075	ancestral	M1	183
M1	Hestina_assimilis	CM041742.1	17362395	423874072	4.09612102907771	ancestral	M1	183
M1	Eueides_isabella	CM032384.1	17065634	440123586	3.87746409027941	ancestral	M1	183
M1	Nymphalis_urticae	LR989988.1	14436327	392818832	3.67505980466843	ancestral	M1	183
M1	Laspeyria_flexula	LR989951.1	18388675	450897266	4.07824051876154	ancestral	M1	183
M1	Spodoptera_litura	CM008406.1	13926079	429567674	3.24188244202007	ancestral	M1	183
M1	Phlogophora_meticulosa	LR990522.1	18921641	538659867	3.51272522034763	ancestral	M1	183
M1	Xestia_xanthographa	LR990655.1	31046583	933882218	3.32446452042842	ancestral	M1	183
M1	Bombyx_mori	BHWX01000004.1	18737234	460334017	4.07035615619082	ancestral	M1	183
M1	Parapoynx_stratiotata	OU342461.1	18874012	478248748	3.94648435127738	ancestral	M1	183
M1	Thymelicus_sylvestris	OU426888.1	20305077	470727450	4.31355277878951	ancestral	M1	183
M1	Noctua_fimbriata	LR990928.1	19968244	573955380	3.47905859859699	ancestral	M1	183
M1	Ptilodon_capucinus	OU611810.1	14253472	348711871	4.08746394526959	ancestral	M1	183
M1	Noctua_janthe	OU342558.1	19197961	532786062	3.60331517080865	ancestral	M1	183
M1	Abrostola_tripartita	HG996488.1	15594788	381057457	4.09250303688454	ancestral	M1	183
M1	Micropterix_aruncella	OX155951.1	42439319	1079211800	3.93243652450798	ancestral	M1	183
M1	Mythimna_ferrago	OU342683.1	28807856	860988366	3.34590537312789	ancestral	M1	183
M1	Sesia_apiformis	OU611949.1	23902800	546808751	4.37132726136638	ancestral	M1	183
M1	Nymphalis_polychloros	HG992244.1	16027193	398112767	4.025792270058	ancestral	M1	183
M1	Carcina_quercana	OU342428.1	17561433	408897582	4.29482436998123	ancestral	M1	183
M1	Deilephila_porcellus	LR999974.1	16428385	402071895	4.08593219379335	ancestral	M1	183
M1	Hypsopygia_costalis	OW443327.1	34080940	816870447	4.17213526638943	ancestral	M1	183
M1	Dryobotodes_eremita	OU823250.1	23994243	709806353	3.38039282102622	ancestral	M1	183
M1	Idaea_aversata	OU026086.1	16764798	436730885	3.8387021792608	ancestral	M1	183
M1	Biston_betularia	FR989863.1	17113340	404525905	4.23046825641488	ancestral	M1	183
M1	Emmelina_monodactyla	OU745305.1	12004078	312410734	3.8424025468984	ancestral	M1	183
M1	Hydriomena_furcata	OU538847.1	16900279	423317948	3.9923369844928	ancestral	M1	183
M1	Synanthedon_andrenaeformis	OW387777.1	15881391	348160761	4.56151088203762	ancestral	M1	183
M1	Hipparchia_semele	OW121709.1	17487639	403422600	4.334818872319	ancestral	M1	183
M1	Apotomis_betuletana	OW026304.1	27764145	684240599	4.05765823316777	ancestral	M1	183
M1	Papilio_machaon	OU538757.1	10690532	252129366	4.24009791862167	ancestral	M1	183
M1	Acleris_sparsana	OV281286.1	22960047	589546063	3.89452978163642	ancestral	M1	183
M1	Anthocharis_cardamines	FR989955.1	13890356	359616706	3.86254469501759	ancestral	M1	183
M1	Spodoptera_exigua	CM039376.1	16144252	432125622	3.73600897009527	ancestral	M1	183
M1	Mamestra_brassicae	LR990993.1	20718905	576184143	3.59588254062729	ancestral	M1	183
M1	Aphantopus_hyperantus	LR761647.1	18856181	408137179	4.62005961970938	ancestral	M1	183
M1	Erannis_defoliaria	FR990069.1	21627931	522369616	4.14035011561622	ancestral	M1	183
M1	Synanthedon_vespiformis	OU906946.1	12706746	287400900	4.42126172882548	ancestral	M1	183
M1	Ochropleura_plecta	FR997727.1	22479048	643962443	3.49073897776986	ancestral	M1	183
M1	Carterocephalus_palaemon	OX155639.1	16285505	394538208	4.1277383710325	ancestral	M1	183
M1	Dendrolimus_punctatus	CM022536.1	22661201	614070971	3.69032279169568	ancestral	M1	183
M1	Stenoptilia_bipunctidactyla	OX101725.1	29797121	822897450	3.62100052685787	ancestral	M1	183
M1	Furcula_furcula	OU452245.1	31921280	736123039	4.33640550679735	ancestral	M1	183
M1	Watsonalla_binaria	OV838919.1	13565417	333062894	4.07292954104939	ancestral	M1	183
M1	Agrotis_puta	OW964170.1	19571621	523321491	3.73988481967388	ancestral	M1	183
M1	Eulithis_prunata	OU974007.1	11299466	263147802	4.29396176373915	ancestral	M1	183
M1	Tholera_decimalis	OW964553.1	48683950	1320997691	3.68539251292302	ancestral	M1	183
M1	Pammene_fasciana	OU452277.1	23616588	564437882	4.18408982691208	ancestral	M1	183
M1	Griposia_aprilina	OU744292.1	25514030	720426900	3.5415154542397	ancestral	M1	183
M1	Carposina_sasakii	CP053149.1	17629264	399040036	4.41791860704423	ancestral	M1	183
M1	Vanessa_atalanta	LR990552.2	14420670	370436055	3.89289050170886	ancestral	M1	183
M1	Agrochola_macilenta	OU753559.1	23964186	683223563	3.50751749467985	ancestral	M1	183
M1	Ochlodes_sylvanus	FR990125.1	16110822	379686201	4.24319397375202	ancestral	M1	183
M1	Euplexia_lucipara	OV179146.1	24674280	661825765	3.7282138751428	ancestral	M1	183
M1	Ennomos_quercinarius	OU342491.1	20037073	491884275	4.07353396284116	ancestral	M1	183
M1	Marasmia_exigua	CM032467.1	28735019	797606974	3.60265393065633	ancestral	M1	183
M1	Leguminivora_glycinivorella	CM041126.1	26623903	657423512	4.04973392554905	ancestral	M1	183
M1	Schrankia_costaestrigalis	FR997828.1	23348940	571991991	4.08203967317437	ancestral	M1	183
M1	Diachrysia_chrysitis	OW028644.1	15117931	386380003	3.91271051364426	ancestral	M1	183
M1	Synanthedon_myopaeformis	OX122915.1	13182253	295689421	4.45814157145649	ancestral	M1	183
M1	Bembecia_ichneumoniformis	OU342521.1	21736467	511429143	4.25014242882127	ancestral	M1	183
M1	Eupithecia_abbreviata	OX030975.1	14732486	383462667	3.8419609698276	ancestral	M1	183
M1	Brachylomia_viminalis	OW443301.1	27515509	781437518	3.52113999727359	ancestral	M1	183
M1	Melitaea_cinxia	HG992212.1	20523172	499413036	4.10945860852539	ancestral	M1	183
M1	Cydia_splendana	OU342876.1	25305885	630621894	4.01284592887922	ancestral	M1	183
M1	Agriopis_aurantiaria	OU611982.1	20399144	485385411	4.20266937112372	ancestral	M1	183
