species	chr	repeat_density	midpos	assigned_merian	genome_size	prop_midpos	plot_colour
Agonopterix_subpropinquella	OV277694.1	46.667	19.45	M19,M21	667.905724	2.91208763469139	M19
Agonopterix_subpropinquella	OV277694.1	48.386	25.15	M19,M21	667.905724	3.76550149164465	M21
Agonopterix_subpropinquella	OV277694.1	44.385	10.75	M19,M21	667.905724	1.60950858986799	M19
Agonopterix_subpropinquella	OV277694.1	62.618	15.85	M19,M21	667.905724	2.37308940924722	M19
Agonopterix_subpropinquella	OV277694.1	40.181	7.45	M19,M21	667.905724	1.11542688321084	M19
Agonopterix_subpropinquella	OV277694.1	59.125	19.65	M19,M21	667.905724	2.9420319805494	M21
Agonopterix_subpropinquella	OV277694.1	39.003	29.35	M19,M21	667.905724	4.39433275466284	M21
Agonopterix_subpropinquella	OV277694.1	77.6	8.25	M19,M21	667.905724	1.23520426664288	M19
Agonopterix_subpropinquella	OV277694.1	68.405	19.55	M19,M21	667.905724	2.92705980762039	M21
Agonopterix_subpropinquella	OV277694.1	57.502	7.85	M19,M21	667.905724	1.17531557492686	M19
Agonopterix_subpropinquella	OV277694.1	48.236	29.75	M19,M21	667.905724	4.45422144637886	M21
Agonopterix_subpropinquella	OV277694.1	55.935	3.65	M19,M21	667.905724	0.546484311908667	M19
Agonopterix_subpropinquella	OV277694.1	56.044	29.15	M19,M21	667.905724	4.36438840880483	M21
Agonopterix_subpropinquella	OV277694.1	49.588	8.35	M19,M21	667.905724	1.25017643957188	M19
Agonopterix_subpropinquella	OV277694.1	56.764	3.05	M19,M21	667.905724	0.456651274334639	M19
Agonopterix_subpropinquella	OV277694.1	51.922	8.45	M19,M21	667.905724	1.26514861250089	M19
Agonopterix_subpropinquella	OV277694.1	54.417	29.65	M19,M21	667.905724	4.43924927344986	M21
Agonopterix_subpropinquella	OV277694.1	36.909	26.05	M19,M21	667.905724	3.90025104800569	M21
Agonopterix_subpropinquella	OV277694.1	42.948	28.65	M19,M21	667.905724	4.28952754415981	M21
Agonopterix_subpropinquella	OV277694.1	53.792	19.35	M19,M21	667.905724	2.89711546176239	M19
Agonopterix_subpropinquella	OV277694.1	61.83	2.95	M19,M21	667.905724	0.441679101405635	M19
Agonopterix_subpropinquella	OV277694.1	57.553	7.35	M19,M21	667.905724	1.10045471028184	M19
Agonopterix_subpropinquella	OV277694.1	42.983	15.25	M19,M21	667.905724	2.2832563716732	M19
Agonopterix_subpropinquella	OV277694.1	45.411	7.65	M19,M21	667.905724	1.14537122906885	M19
Agonopterix_subpropinquella	OV277694.1	53.488	36.95	M19,M21	667.905724	5.53221789726719	M21
Agonopterix_subpropinquella	OV277694.1	50.39	7.05	M19,M21	667.905724	1.05553819149482	M19
Agonopterix_subpropinquella	OV277694.1	33.876	11.75	M19,M21	667.905724	1.75923031915804	M19
Agonopterix_subpropinquella	OV277694.1	59.89	34.35	M19,M21	667.905724	5.14294140111307	M21
Agonopterix_subpropinquella	OV277694.1	80.971	4.35	M19,M21	667.905724	0.651289522411699	M19
Agonopterix_subpropinquella	OV277694.1	62.733	3.75	M19,M21	667.905724	0.561456484837672	M19
Agonopterix_subpropinquella	OV277694.1	61.256	7.95	M19,M21	667.905724	1.19028774785586	M19
Agonopterix_subpropinquella	OV277694.1	40.53	27.95	M19,M21	667.905724	4.18472233365678	M21
Agonopterix_subpropinquella	OV277694.1	33.777	29.55	M19,M21	667.905724	4.42427710052085	M21
Agonopterix_subpropinquella	OV277694.1	45.673	19.25	M19,M21	667.905724	2.88214328883338	M19
Agonopterix_subpropinquella	OV277694.1	61.693	15.95	M19,M21	667.905724	2.38806158217623	M19
Agonopterix_subpropinquella	OV277694.1	52.171	16.05	M19,M21	667.905724	2.40303375510523	M19
Agonopterix_subpropinquella	OV277694.1	39.914	29.95	M19,M21	667.905724	4.48416579223687	M21
Agonopterix_subpropinquella	OV277694.1	43.686	25.85	M19,M21	667.905724	3.87030670214768	M21
Agonopterix_subpropinquella	OV277694.1	50.787	7.25	M19,M21	667.905724	1.08548253735283	M19
Agonopterix_subpropinquella	OV277694.1	45.558	24.75	M19,M21	667.905724	3.70561279992863	M21
Agonopterix_subpropinquella	OV277694.1	33.592	24.55	M19,M21	667.905724	3.67566845407062	M21
Agonopterix_subpropinquella	OV277694.1	38.331	29.05	M19,M21	667.905724	4.34941623587583	M21
Agonopterix_subpropinquella	OV277694.1	71.751	8.15	M19,M21	667.905724	1.22023209371387	M19
Agonopterix_subpropinquella	OV277694.1	38.466	28.15	M19,M21	667.905724	4.21466667951479	M21
Agonopterix_subpropinquella	OV277694.1	79.016	19.15	M19,M21	667.905724	2.86717111590438	M19
Agonopterix_subpropinquella	OV277694.1	54.176	7.15	M19,M21	667.905724	1.07051036442383	M19
Agonopterix_subpropinquella	OV277694.1	57.879	3.45	M19,M21	667.905724	0.516539966050658	M19
Agonopterix_subpropinquella	OV277694.1	44.637	17.25	M19,M21	667.905724	2.58269983025329	M19
Agonopterix_subpropinquella	OV277694.1	56.543	16.15	M19,M21	667.905724	2.41800592803424	M19
Agonopterix_subpropinquella	OV277694.1	61.693	15.75	M19,M21	667.905724	2.35811723631822	M19
Agonopterix_subpropinquella	OV277694.1	39.603	37.05	M19,M21	667.905724	5.54719007019619	M21
Agonopterix_subpropinquella	OV277694.1	71.118	4.15	M19,M21	667.905724	0.62134517655369	M19
Agonopterix_subpropinquella	OV277694.1	34.928	11.85	M19,M21	667.905724	1.77420249208704	M19
Agonopterix_subpropinquella	OV277694.1	54.224	3.95	M19,M21	667.905724	0.591400830695681	M19
Agonopterix_subpropinquella	OV277694.1	42.612	25.75	M19,M21	667.905724	3.85533452921868	M21
Agonopterix_subpropinquella	OV277694.1	29.121	28.95	M19,M21	667.905724	4.33444406294682	M21
Agonopterix_subpropinquella	OV277694.1	58.22	8.05	M19,M21	667.905724	1.20525992078487	M19
Agonopterix_subpropinquella	OV277694.1	42.428	6.55	M19,M21	667.905724	0.9806773268498	M19
Agonopterix_subpropinquella	OV277694.1	37.404	29.25	M19,M21	667.905724	4.37936058173384	M21
Agonopterix_subpropinquella	OV277694.1	47.149	29.45	M19,M21	667.905724	4.40930492759185	M21
Agonopterix_subpropinquella	OV277694.1	46.675	17.35	M19,M21	667.905724	2.59767200318229	M19
