chr	assigned_merian	prop_length	repeat_density	status	relative_size
OU611857.1	M11	3.28197131127175	41.24335	ancestral	NA
OU611862.1	M26	2.91714072751933	48.27473	ancestral	NA
OU611861.1	M13	3.02544556057427	41.07607	ancestral	NA
OU611863.1	M24	2.86500032564157	46.46146	ancestral	NA
OU611855.1	M4	3.30947536976677	38.27504	ancestral	NA
OU611852.1	M16	3.44501213598579	37.08557	ancestral	NA
OU611856.1	M10	3.29855208071258	40.8701	ancestral	NA
OU611865.1	M28	2.49845222382428	43.17576	ancestral	NA
OU611844.1	M12	3.69396346947612	37.67386	ancestral	NA
OU611848.1	M7	3.58546603390694	40.46186	ancestral	NA
OU611866.1	M29	2.21549501139214	57.42471	ancestral	NA
OU611846.1	M1	3.61678299299246	35.2036	ancestral	NA
OU611843.1	M23	3.78341580216451	42.64974	ancestral	NA
OU611849.1	M3	3.52608853138507	34.68342	ancestral	NA
OU611859.1	M18	3.25170440291725	37.41241	ancestral	NA
OU611851.1	M6	3.4533066279286	39.73055	ancestral	NA
OU611868.1	M31	1.99054995589088	61.47502	ancestral	NA
OU611867.1	M25	2.11495947013909	51.47389	ancestral	NA
OU611864.1	M27	2.56159124296281	47.89971	ancestral	NA
OU611842.1	M17+M20	3.78408047309162	38.00578	ancestral	NA
OU611860.1	M14	3.19544279660584	43.81005	ancestral	NA
OU611858.1	M15	3.26081544562825	38.91125	ancestral	NA
OU611839.1	M30,M5	5.76345249213951	46.87582	ancestral	NA
OU611850.1	M19	3.46119913640248	45.15165	ancestral	NA
OU611854.1	M22	3.39374613554066	40.37123	ancestral	NA
OU611841.1	M2	3.84847927346668	35.60636	ancestral	NA
OU611853.1	M21	3.44072314714773	39.89211	ancestral	NA
OU611847.1	M8	3.60252621232831	37.42936	ancestral	NA
OU611845.1	M9	3.65391473034376	36.49549	ancestral	NA
OU611839.1	M5	4.25568975092042	44.01892	fusion	Large
OU611839.1	M30	1.50776274121909	54.93947	fusion	Small
OU611839.1	NA	5.76345249213951	46.87582	fusion	Complete
